Zipcode,admin_name1,Lat,Long,accuracy
110001,New Delhi,28.6333,77.2167,4
110002,New Delhi,28.6333,77.25,4
110003,New Delhi,28.65,77.2167,
110004,New Delhi,28.65,77.2167,
110005,New Delhi,28.65,77.2,
110006,New Delhi,28.65,77.2167,
110007,New Delhi,28.6833,77.2,
110008,New Delhi,28.65,77.2167,
110010,New Delhi,28.55,77.2667,
110011,New Delhi,28.55,77.2667,
110012,New Delhi,28.55,77.2667,
110013,New Delhi,28.55,77.2667,
110014,New Delhi,28.55,77.2667,
110015,New Delhi,28.55,77.2667,
110016,New Delhi,28.55,77.2667,
110017,New Delhi,28.55,77.2667,
110018,New Delhi,28.55,77.2667,
110019,New Delhi,28.55,77.2667,
110020,New Delhi,28.6488,77.1726,
110021,New Delhi,28.6488,77.1726,
110022,New Delhi,28.6488,77.1726,
110023,New Delhi,28.6488,77.1726,
110024,New Delhi,28.6488,77.1726,
110025,New Delhi,28.6488,77.1726,
110026,New Delhi,28.6488,77.1726,
110027,New Delhi,28.6488,77.1726,
110028,New Delhi,28.6488,77.1726,
110029,New Delhi,28.6488,77.1726,
110030,New Delhi,28.7556,77.1667,
110031,New Delhi,28.7556,77.1667,
110032,New Delhi,28.6667,77.3167,4
110033,New Delhi,28.7556,77.1667,
110034,New Delhi,28.7556,77.1667,
110035,New Delhi,28.7556,77.1667,
110036,New Delhi,28.8,77.15,4
110037,New Delhi,28.7556,77.1667,
110038,New Delhi,28.7556,77.1667,
110039,New Delhi,28.8,77.0333,4
110040,New Delhi,28.85,77.1,
110041,New Delhi,28.6092,77.1569,
110042,New Delhi,28.6092,77.1569,
110043,New Delhi,28.6125,76.9847,4
110044,New Delhi,28.5083,77.3,
110045,New Delhi,28.5667,77.1,
110046,New Delhi,28.6092,77.1569,
110047,New Delhi,28.6092,77.1569,
110048,New Delhi,28.6092,77.1569,
110049,New Delhi,28.6092,77.1569,
110051,New Delhi,28.6167,77.2167,
110052,New Delhi,28.6167,77.2167,
110053,New Delhi,28.6167,77.2167,
110054,New Delhi,28.6167,77.2167,
110055,New Delhi,28.6167,77.2167,4
110056,New Delhi,28.6167,77.2167,
110057,New Delhi,28.6167,77.2167,
110058,New Delhi,28.6167,77.2167,
110059,New Delhi,28.6167,77.2167,
110060,New Delhi,28.6488,77.1726,
110061,New Delhi,28.6488,77.1726,
110062,New Delhi,28.6488,77.1726,
110063,New Delhi,28.6488,77.1726,
110064,New Delhi,28.6488,77.1726,
110065,New Delhi,28.6488,77.1726,
110066,New Delhi,28.6488,77.1726,
110067,New Delhi,28.6488,77.1726,
110070,New Delhi,28.6528,76.9539,
110071,New Delhi,28.6528,76.9539,
110072,New Delhi,28.6528,76.9539,4
110073,New Delhi,28.6528,76.9539,
110081,New Delhi,28.6488,77.1726,
110082,New Delhi,28.6488,77.1726,
110083,New Delhi,28.6488,77.1726,
110084,New Delhi,28.6488,77.1726,
110088,New Delhi,28.7165,77.1629,6
110091,New Delhi,28.6488,77.1726,
110092,New Delhi,28.6488,77.1726,
110093,New Delhi,28.6488,77.1726,
110094,New Delhi,28.6488,77.1726,
110096,New Delhi,28.6488,77.1726,
121001,Uttar Pradesh,28.9915,76.2541,
121002,Uttar Pradesh,28.9915,76.2541,
121005,Uttar Pradesh,28.9915,76.2541,
121006,Uttar Pradesh,28.9915,76.2541,
121007,Uttar Pradesh,28.9915,76.2541,
121101,Uttar Pradesh,28.9915,76.2541,
121102,Uttar Pradesh,28.9915,76.2541,
122001,Haryana,28.09,76.9567,
122005,Haryana,28.09,76.9567,
122015,Haryana,28.09,76.9567,
122016,Haryana,28.09,76.9567,
122050,Haryana,28.09,76.9567,
122101,Haryana,28.4,77.05,4
122103,Haryana,28.09,76.9567,
122104,Haryana,27.8,76.95,4
122105,Haryana,28.09,76.9567,
122106,Haryana,28.2167,76.7833,4
122107,Haryana,28.1167,77.0167,4
122108,Haryana,27.9167,76.9833,4
122109,Haryana,28.09,76.9567,
122211,Haryana,28.09,76.9567,
123001,Haryana,28.5,76.2111,
123020,Haryana,28.5,76.2111,
123021,Haryana,28.5,76.2111,
123023,Haryana,28.5,76.2111,
123024,Haryana,28.3833,75.9667,4
123025,Haryana,28.7833,76.35,4
123027,Haryana,28.3333,76.3167,4
123028,Haryana,28.5,76.2111,
123029,Haryana,28.5,76.2111,
123034,Haryana,28.5,76.2111,
123035,Haryana,28.5,76.2111,
123201,Haryana,28.45,75.8167,4
123301,Haryana,28.35,76.5167,4
123306,Haryana,28.6,76.2667,
123307,Haryana,28.6833,76.3667,4
123308,Haryana,28.5444,76.3833,
123310,Haryana,28.5444,76.3833,
123401,Haryana,28.1833,76.6167,
123411,Uttar Pradesh,28.1833,76.6167,
123412,Haryana,28.1833,76.6167,
123413,Haryana,28.1833,76.6167,
123414,Haryana,28.1833,76.6167,
123501,Haryana,28.0833,76.5833,4
123502,Haryana,28.2833,76.7667,
123503,Haryana,28.3167,76.7833,4
123504,Haryana,28.2833,76.7667,
123505,Haryana,28.45,76.9333,4
123506,Haryana,28.2833,76.7667,
123508,Haryana,28.2833,76.7667,
124001,Haryana,28.9,76.5667,4
124003,Haryana,28.9,76.5667,
124004,Haryana,28.9,76.5667,
124005,Haryana,28.9,76.5667,
124006,Haryana,28.9,76.5667,
124007,Haryana,28.9,76.5667,
124021,Haryana,28.8667,76.45,
124022,Haryana,28.8667,76.45,
124024,Haryana,28.8667,76.45,4
124025,Haryana,28.8667,76.45,
124028,Haryana,28.8667,76.45,
124029,Haryana,28.8667,76.45,
124030,Haryana,28.8833,76.5083,
124031,Haryana,28.8833,76.5083,
124101,Haryana,28.62,76.67,
124102,Haryana,28.6833,76.6167,4
124103,Haryana,28.62,76.67,
124104,Haryana,28.6167,76.65,4
124105,Haryana,28.5833,76.8167,4
124107,Haryana,28.75,76.6167,4
124108,Haryana,28.4667,76.65,4
124109,Haryana,28.62,76.67,
124110,Haryana,28.8917,76.4167,
124111,Haryana,28.95,76.4333,4
